[2026/09/12 18:00:31   INFO]          [QUICTransport] Using IPv6 Datagram Channel: NioDatagramChannel(INET6)...
[2026/09/12 18:00:31   INFO]        [ServerManager|P] Took 523ms 628us 900ns to setup transport!
[2026/09/12 18:00:31   INFO]           [I18nModule|P] Loaded 11395 bundled default translations from /bundledDefaults/server.lang
[2026/09/12 18:00:31   INFO]       [TelemetryService] Telemetry enabled
[2026/09/12 18:00:31   INFO]        [TelemetryModule] Server telemetry is enabled
[2026/09/12 18:00:31   INFO]          [VoiceModule|P] [Voice] Registered voice stream handler
[2026/09/12 18:00:31   INFO]          [VoiceModule|P] [Voice] VoiceModule initialized (maxDistance=32.0, refDistance=4.0, enabled=true, voiceStreamSupported=true)
[2026/09/12 18:00:32   INFO]     [HytaleDevLibPlugin] HytaleDevLib v0.5.0 loaded - Helper library ready!
[2026/09/12 18:00:32   INFO]         [CanvasUIPlugin] CANVASUI_SETUP revision=R008 version=0.1.0 hytale=0.7.0-pre.1 inputBackend=hytale-customui-0.7.0-pre.1 capabilities=CanvasInputCapabilities[supportsPointerMove=false, supportsPointerCapture=false, supportsPrimaryDrag=false, supportsMiddleDrag=false, supportsWheel=false, supportsRightClick=true, supportsModifierKeys=false, supportsTextInput=true]
[2026/09/12 18:00:32   INFO]         [CanvasUIPlugin] CANVASUI_DEMO_SETUP revision=R008 bundled=true commands=/canvasui-demo,/canvasui-topology-proof,/canvasui-input-probe
[2026/09/12 18:00:32   INFO]          [Phase00Plugin] HYTALE_RPG_SETUP revision=R032 version=0.0.25 hytale=0.7.0-pre.2 stage=13 combatEnabled=true
[2026/09/12 18:00:32   INFO]          [Phase00Plugin] RPG_STAGE12_PROFILES revision=R032 bands=5 difficulties=3 nativeBiomeBindings=4 awardHook=true connectedProof=false
[2026/09/12 18:00:32   INFO]   [RpgSkillTraceService] RPG_SKILL_TRACE revision=R032 event=TRACE_LEVEL_CHANGED player=null correlation=10c6151f-0e59-46ed-8e95-016babd534ca result=n/a code=n/a jsonl=mods\InigmasGames_HytaleRPGPhase00Audit\logs\rpg\skill-trace.jsonl metrics=Metrics[accepted=1, written=0, dropped=0, failed=0, queuedRecords=0, retainedBytes=312, activeSegmentBytes=0, activeSegmentEvents=0] consoleRateLimited=true
[2026/09/12 18:00:32   INFO]          [Phase00Plugin] RPG_STAGE12_REWARD_STORE playerSchema=9 writeAhead=true immutableReceipts=true awardHook=true connectedProof=false
[2026/09/12 18:00:32   INFO]          [Phase00Plugin] RPG_STAGE12_ENCOUNTER_STORE schema=1 frozenDeathPlans=true permanentExclusions=true pending=0 awardHook=true connectedProof=false
[2026/09/12 18:00:32   INFO] [HytaleRPGPhase00Audit|P] RPG_STAGE13_N_POWER_REGISTRY entries=197 policy=NATIVE_UNCHARGED_OR_EXPLICIT_MAGIC_SHIELD_REFERENCE traceLevel=NORMAL connectedProof=false
[2026/09/12 18:00:32   INFO]           [Phase00Plugin] RPG_STAGE13_NATIVE_BASIC_HOOK start=INTERACTION_CHAIN_START before=POST_FILTER after=POST_APPLY scope=AUDITED_MELEE recovery=ROOT_HEALTH_LOSS finisher=ROOT_HEALTH_LOSS connectedProof=false
[2026/09/12 18:00:32   INFO]           [Phase00Plugin] RPG_STAGE12_NATIVE_REWARDS spawn=LEGACY_WORLD_SPAWN contribution=POST_APPLY_HEALTH_LOSS death=NATIVE_DEATH_COMPONENT deliveryBudget=8_per_second party=SOLO_ONLY connectedProof=false
[2026/09/12 18:00:32   INFO]           [Phase00Plugin] RPG_STAGE12_SUPPORT_CREDIT healing=POST_NATIVE_WRITE absorption=ACTUAL_CONSUMPTION partyProvider=NATIVE_PARTY_PROVIDER_UNAVAILABLE_SOLO_ONLY mastery=true connectedProof=false
[2026/09/12 18:00:32   INFO]           [Phase00Plugin] RPG_STAGE12_MASTERY damage=INSPECT_BEFORE_DEATH control=NATIVE_STATE_CHANGE healing=HOSTILE_INJURY_ONLY rootDedup=DURABLE sustainedIntervalSeconds=5 movementAvoidance=UNAVAILABLE connectedProof=false
[2026/09/12 18:00:32   INFO]           [Phase00Plugin] RPG_STAGE12_ACQUISITION playerSchema=9 verifiedLearningBindings=0 pity=DURABLE spending=SAME_REWARD_AUTHORITY respec=TEN_SECONDS_AND_NO_PENDING_CAST import=IDS_AND_FIXED_LAYOUT_ONLY connectedProof=false
[2026/09/12 18:00:32   INFO]           [Phase00Plugin] RPG_STAGE05_READY revision=R032 skills=89 passives=67 pilots=89 projectiles=6 schema=9 balance=rpg.combat-kernel.r011 skillTrace=mods\InigmasGames_HytaleRPGPhase00Audit\logs\rpg\skill-trace.jsonl uiTrace=mods\InigmasGames_HytaleRPGPhase00Audit\logs\rpg\ui-trace.jsonl abilityInput=Ability2->skill01,Ability3->skill02 nativeAbility4=NATIVE_ABILITY4_UNAVAILABLE nativeAbility1=SIGNATURE_UNTOUCHED abilityHud=NATIVE_HYTALE_ONLY skillTreeHotkey=BLOCKED_PUBLIC_API uiOpen=COMMAND_ONLY entitlementMode=DEVELOPMENT
[2026/09/12 18:00:33   INFO]       [ServerAuthManager] Auth credential store: Encrypted
[2026/09/12 18:00:33   INFO]            [HytaleServer] Setup phase completed! Boot time 3sec 6ms 26us 500ns
[2026/09/12 18:00:33   INFO]                  [Hytale] Loading common assets from: /
[2026/09/12 18:00:33   INFO]     [CommonAssetModule|P] Took 140ms 107us to load 27593 assets from CommonAssetsIndex.hashes file.
[2026/09/12 18:00:33   WARN]     [CommonAssetModule|P] Duplicated Asset Count: 958
[2026/09/12 18:00:33   INFO]                  [Hytale] Loading common assets phase completed! Boot time 3sec 146ms 960us 400ns, Took 140ms 526us 700ns
[2026/09/12 18:00:33   INFO]                  [Hytale] Loading common assets from: /
[2026/09/12 18:00:33   INFO]     [CommonAssetModule|P] Took 2ms 718us 400ns to walk file tree and load 6 assets.
[2026/09/12 18:00:33   WARN]     [CommonAssetModule|P] Duplicated Asset Count: 958
[2026/09/12 18:00:33   INFO]                  [Hytale] Loading common assets phase completed! Boot time 3sec 150ms 221us 500ns, Took 3ms 150us 300ns
[2026/09/12 18:00:33   INFO]                  [Hytale] Loading common assets from: /
[2026/09/12 18:00:33   INFO]     [CommonAssetModule|P] Took 3ms 804us 500ns to walk file tree and load 36 assets.
[2026/09/12 18:00:33   WARN]     [CommonAssetModule|P] Duplicated Asset Count: 966
[2026/09/12 18:00:33   INFO]                  [Hytale] Loading common assets phase completed! Boot time 3sec 154ms 483us 100ns, Took 3ms 982us 400ns
[2026/09/12 18:00:33   INFO]                  [Hytale] Loading common assets from: /
[2026/09/12 18:00:33   WARN]     [CommonAssetModule|P] Duplicated Asset Count: 966
[2026/09/12 18:00:33   INFO]                  [Hytale] Loading common assets phase completed! Boot time 3sec 154ms 671us 300ns, Took 130us 200ns
[2026/09/12 18:00:33   INFO]            [I18nModule|P] Loaded 10336 entries for 'zh-CN' from /Server/Languages
[2026/09/12 18:00:33   INFO]            [I18nModule|P] Loaded 10714 entries for 'uk-UA' from /Server/Languages
[2026/09/12 18:00:33   INFO]            [I18nModule|P] Loaded 9671 entries for 'ru-RU' from /Server/Languages
[2026/09/12 18:00:33   INFO]            [I18nModule|P] Loaded 10828 entries for 'pt-BR' from /Server/Languages
[2026/09/12 18:00:33   INFO]            [I18nModule|P] Loaded 11419 entries for 'en-US' from /Server/Languages
[2026/09/12 18:00:33   INFO]            [I18nModule|P] Loaded 51 entries from /Server/Languages/fallback.lang
[2026/09/12 18:00:33   INFO]            [I18nModule|P] Loaded 182 entries for 'en-US' from /Server/Languages
[2026/09/12 18:00:33   INFO]     [AssetRegistryLoader] Loading 113 asset stores...
[2026/09/12 18:00:33   INFO]     [AssetRegistryLoader] Pre-adding assets...
[2026/09/12 18:00:33   INFO]       [CollisionModule|P] Block extents for CollisionSystem is Max=0.00000, Min=0.00000
[2026/09/12 18:00:33   INFO]            [ItemModule|P] Computed damage data for 0 of 0 weapon items
[2026/09/12 18:00:33   INFO]                  [Hytale] Loading assets from: /Server
[2026/09/12 18:00:33   INFO]     [AssetRegistryLoader] Loading assets from /Server
[2026/09/12 18:00:33   INFO]       [CollisionModule|P] Block extents for CollisionSystem is Max=3.00000, Min=0.00000
[2026/09/12 18:00:33   WARN] [AssetStore|PrefabListAsset] Asset key 'Trees_Ash_twisted_Large' for file '/Server/PrefabList/Trees_Ash_twisted_Large.json' has incorrect format! Expected: 'Trees_Ash_Twisted_Large'
[2026/09/12 18:00:33   WARN] [AssetStore|PrefabListAsset] Asset key 'Trees_Ash_swamp_dead' for file '/Server/PrefabList/Trees_Ash_swamp_dead.json' has incorrect format! Expected: 'Trees_Ash_Swamp_Dead'
[2026/09/12 18:00:33   WARN] [AssetStore|PrefabListAsset] Asset key 'Trees_Ash_twisted_Giant' for file '/Server/PrefabList/Trees_Ash_twisted_Giant.json' has incorrect format! Expected: 'Trees_Ash_Twisted_Giant'
[2026/09/12 18:00:33   WARN] [AssetStore|PrefabListAsset] Asset key 'Trees_Ash_twisted' for file '/Server/PrefabList/Trees_Ash_twisted.json' has incorrect format! Expected: 'Trees_Ash_Twisted'
[2026/09/12 18:00:33   WARN] [AssetStore|PrefabListAsset] Asset key 'Trees_Fir_red' for file '/Server/PrefabList/Trees_Fir_red.json' has incorrect format! Expected: 'Trees_Fir_Red'
[2026/09/12 18:00:33   WARN] [AssetStore|PrefabListAsset] Asset key 'Trees_Burnt_dead' for file '/Server/PrefabList/Trees_Burnt_dead.json' has incorrect format! Expected: 'Trees_Burnt_Dead'
[2026/09/12 18:00:33   WARN] [AssetStore|PrefabListAsset] Asset key 'Trees_Ash_swamp' for file '/Server/PrefabList/Trees_Ash_swamp.json' has incorrect format! Expected: 'Trees_Ash_Swamp'
[2026/09/12 18:00:33   WARN] [AssetStore|TriggerEffectAsset] Asset key 'sample_bounce_pad' for file '/Server/TriggerVolumes/Effects/sample_bounce_pad.json' has incorrect format! Expected: 'Sample_Bounce_Pad'
[2026/09/12 18:00:33   WARN] [AssetStore|TriggerEffectAsset] Unused key(s) in 'Objective_Outpost_Undead' file /Server/TriggerVolumes/Effects/Objective_Outpost_Undead.json: Effects.0.Type, Effects.1.Type, Effects.2.Type, Effects.3.Type
[2026/09/12 18:00:33   WARN] [AssetStore|TriggerEffectAsset] Unused key(s) in 'Undead_Encounter_Spawner' file /Server/TriggerVolumes/Effects/Undead_Encounter_Spawner.json: Effects.0.Type, Effects.1.Type, Effects.2.Type, Effects.3.Type
[2026/09/12 18:00:33   WARN] [AssetStore|TriggerEffectAsset] Unused key(s) in 'sample_bounce_pad' file /Server/TriggerVolumes/Effects/sample_bounce_pad.json: Effects.0.Type, Effects.1.Type, Effects.2.Type
[2026/09/12 18:00:33   WARN] [AssetStore|TriggerEffectAsset] Unused key(s) in 'Health_Pack_Volume' file /Server/TriggerVolumes/Effects/Health_Pack_Volume.json: Effects.0.Type, Effects.1.Type, Effects.2.Type, Effects.3.Type, Effects.4.Type, Effects.5.Type, Effects.6.Type, Effects.7.Type
[2026/09/12 18:00:33   WARN] [AssetStore|ScriptedBrushAsset] Asset key 'templeFloor' for file '/Server/ScriptedBrushes/Archive/templeFloor.json' has incorrect format! Expected: 'TempleFloor'
[2026/09/12 18:00:33   WARN] [AssetStore|ScriptedBrushAsset] Asset key 'templeRandom' for file '/Server/ScriptedBrushes/Archive/templeRandom.json' has incorrect format! Expected: 'TempleRandom'
[2026/09/12 18:00:33   WARN] [AssetStore|ScriptedBrushAsset] Asset key 'templePillars' for file '/Server/ScriptedBrushes/Archive/templePillars.json' has incorrect format! Expected: 'TemplePillars'
[2026/09/12 18:00:33   WARN] [AssetStore|ScriptedBrushAsset] Asset key 'templeWalls' for file '/Server/ScriptedBrushes/Archive/templeWalls.json' has incorrect format! Expected: 'TempleWalls'
[2026/09/12 18:00:33   WARN] [AssetStore|ScriptedBrushAsset] Asset key 'templeDestruction' for file '/Server/ScriptedBrushes/Archive/templeDestruction.json' has incorrect format! Expected: 'TempleDestruction'
[2026/09/12 18:00:33   WARN] [AssetStore|ScriptedBrushAsset] Asset key 'keepDestruction' for file '/Server/ScriptedBrushes/Archive/keepDestruction.json' has incorrect format! Expected: 'KeepDestruction'
[2026/09/12 18:00:33   WARN] [AssetStore|ScriptedBrushAsset] Asset key 'MountainBrush_old' for file '/Server/ScriptedBrushes/Archive/MountainBrush_old.json' has incorrect format! Expected: 'MountainBrush_Old'
[2026/09/12 18:00:33   WARN] [AssetStore|ScriptedBrushAsset] Asset key 'BoulderBrush_old' for file '/Server/ScriptedBrushes/Archive/BoulderBrush_old.json' has incorrect format! Expected: 'BoulderBrush_Old'
[2026/09/12 18:00:33   WARN] [AssetStore|ScriptedBrushAsset] Asset key 'moltenBall' for file '/Server/ScriptedBrushes/Archive/moltenBall.json' has incorrect format! Expected: 'MoltenBall'
[2026/09/12 18:00:33   WARN]              [MacroCommandBase] Could not parse default argument value for argument: 'world' on Macro Command: 'settimeandgohome'.
No such world "Default".
No such world "Default".
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: werstjrtydkm,
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: River-Boulders-Mask
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: werstjrtydkm,
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: River-Boulders-Mask
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: River-Boulders-Mask
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: River-Boulders-Mask
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: River-Boulders-Mask
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: Taiga1_Rewood_Trees_Mask
[2026/09/12 18:00:33   INFO]               [HytaleGenerator] Exported Scanner asset with name 'BasicForestTreeScanner' with asset id 'null
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: River-Boulders-Mask
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: River-Boulders-Mask
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: abc
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: Plains1-Gorges-BaseTerrain
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: Peak
[2026/09/12 18:00:33   WARN]         [AssetStore|BiomeAsset] Unused key(s) in 'Test_Graph' file /Server/HytaleGenerator/Biomes/Experimental/Test_Graph.json: Terrain.Density.GraphGenerator.IsSingleInstance, MaterialProvider.Queue.0.GraphGenerator.IsSingleInstance, Props.0.PropDistribution.GraphGenerator.IsSingleInstance
[2026/09/12 18:00:33   WARN]               [HytaleGenerator] Duplicate export name for asset: pattern1
[2026/09/12 18:00:33   WARN]         [AssetStore|BiomeAsset] Unused key(s) in 'Example_Graph_Roots' file /Server/HytaleGenerator/Biomes/Examples/Example_Graph_Roots.json: Terrain.Density.Inputs.0.GraphGenerator.IsSingleInstance
[2026/09/12 18:00:33   WARN]         [AssetStore|BiomeAsset] Unused key(s) in 'Example_Graph_Erosion' file /Server/HytaleGenerator/Biomes/Examples/Example_Graph_Erosion.json: Terrain.Density.Inputs.0.Inputs.0.Inputs.0.Inputs.0.Inputs.0.GraphGenerator.IsSingleInstance
[2026/09/12 18:00:33   WARN]         [AssetStore|BiomeAsset] Unused key(s) in 'Example_Graph_Road_Layout' file /Server/HytaleGenerator/Biomes/Examples/Example_Graph_Road_Layout.json: MaterialProvider.Solid.Queue.0.FieldFunction.Inputs.0.Inputs.0.Inputs.0.GraphGenerator.IsSingleInstance
